| Level |           Name |                                 Inputs |       Start |    Output |
|-------|----------------|----------------------------------------|-------------|-----------|
|    30 |         Sha256 |     1-32     33-32     65-32  ......21 |   769-48808 | 49577-256 |
|    21 | ShaCore_Ex1_32 |   513-32    545-32    577-32  .......6 |   769-00505 |  1274-064 |
|    10 |    ConstAdd_32 |     1-32                               |   769-00031 |   800-032 |
|    20 |     ShaCore_32 |   513-32    545-32    577-32  .......6 |   832-00442 |  1274-064 |
|    11 |   Add_B0Maj_32 |   513-32    545-32    577-32           |   832-00095 |   927-032 |
|    10 |       Bsig0_32 |   513-32                               |             |   832-032 |
|    10 |         Maj_32 |   513-32    545-32    577-32           |             |   864-032 |
|    10 |         Add_32 |   832-32    864-32                     |   896-00031 |   927-032 |
|    11 |    Add_B1Ch_32 |   641-32    673-32    705-32           |   959-00095 |  1054-032 |
|    10 |       Bsig1_32 |   641-32                               |             |   959-032 |
|    10 |          Ch_32 |   641-32    673-32    705-32           |             |   991-032 |
|    10 |         Add_32 |   959-32    991-32                     |  1023-00031 |  1054-032 |
|    10 |         Add_32 |   737-32    800-32                     |  1086-00031 |  1117-032 |
|    10 |         Add_32 |  1054-32   1117-32                     |  1149-00031 |  1180-032 |
|    10 |         Add_32 |   609-32   1180-32                     |  1212-00031 |  1306-032 |
|    10 |         Add_32 |   927-32   1180-32                     |  1243-00031 |  1274-032 |
|    21 | ShaCore_Ex1_32 |  1274-32    513-32    545-32  .......6 |  1338-00505 |  1843-064 |
|    10 |    ConstAdd_32 |    33-32                               |  1338-00031 |  1369-032 |
|    20 |     ShaCore_32 |  1274-32    513-32    545-32  .......6 |  1401-00442 |  1843-064 |
|    11 |   Add_B0Maj_32 |  1274-32    513-32    545-32           |  1401-00095 |  1496-032 |
|    10 |       Bsig0_32 |  1274-32                               |             |  1401-032 |
|    10 |         Maj_32 |  1274-32    513-32    545-32           |             |  1433-032 |
|    10 |         Add_32 |  1401-32   1433-32                     |  1465-00031 |  1496-032 |
|    11 |    Add_B1Ch_32 |  1306-32    641-32    673-32           |  1528-00095 |  1623-032 |
|    10 |       Bsig1_32 |  1306-32                               |             |  1528-032 |
|    10 |          Ch_32 |  1306-32    641-32    673-32           |             |  1560-032 |
|    10 |         Add_32 |  1528-32   1560-32                     |  1592-00031 |  1623-032 |
|    10 |         Add_32 |   705-32   1369-32                     |  1655-00031 |  1686-032 |
|    10 |         Add_32 |  1623-32   1686-32                     |  1718-00031 |  1749-032 |
|    10 |         Add_32 |   577-32   1749-32                     |  1781-00031 |  1875-032 |
|    10 |         Add_32 |  1496-32   1749-32                     |  1812-00031 |  1843-032 |
|    21 | ShaCore_Ex1_32 |  1843-32   1274-32    513-32  .......6 |  1907-00505 |  2412-064 |
|    10 |    ConstAdd_32 |    65-32                               |  1907-00031 |  1938-032 |
|    20 |     ShaCore_32 |  1843-32   1274-32    513-32  .......6 |  1970-00442 |  2412-064 |
|    11 |   Add_B0Maj_32 |  1843-32   1274-32    513-32           |  1970-00095 |  2065-032 |
|    10 |       Bsig0_32 |  1843-32                               |             |  1970-032 |
|    10 |         Maj_32 |  1843-32   1274-32    513-32           |             |  2002-032 |
|    10 |         Add_32 |  1970-32   2002-32                     |  2034-00031 |  2065-032 |
|    11 |    Add_B1Ch_32 |  1875-32   1306-32    641-32           |  2097-00095 |  2192-032 |
|    10 |       Bsig1_32 |  1875-32                               |             |  2097-032 |
|    10 |          Ch_32 |  1875-32   1306-32    641-32           |             |  2129-032 |
|    10 |         Add_32 |  2097-32   2129-32                     |  2161-00031 |  2192-032 |
|    10 |         Add_32 |   673-32   1938-32                     |  2224-00031 |  2255-032 |
|    10 |         Add_32 |  2192-32   2255-32                     |  2287-00031 |  2318-032 |
|    10 |         Add_32 |   545-32   2318-32                     |  2350-00031 |  2444-032 |
|    10 |         Add_32 |  2065-32   2318-32                     |  2381-00031 |  2412-032 |
